type,size,cores,time,L1_DCM,L2_DCM,FP_INS,TOT_INS,FP_OPS
2,2200,5,7.078,171502820,368152,1331000007,38099375239,1331000007
2,2600,5,11.717,283345916,561411,2197000007,62845321167,2197000007
2,3000,5,18.104,435402938,872825,3375000007,96494087920,3375000007
2,600,6,0.145,2015417,12895,27000007,783506639,27000007
2,1000,6,0.663,10173581,64260,125000007,3596888912,125000007
2,1400,6,1.837,43636454,84483,343000007,9842192846,343000007
2,1800,6,3.912,94152300,191969,729000007,20886144217,729000007
2,2200,6,7.149,171765060,335401,1331000007,38098882223,1331000007
2,2600,6,11.855,283347927,561728,2197000007,62845321329,2197000007
2,3000,6,18.312,435438993,880688,3375000007,96494088239,3375000007
2,600,7,0.139,2008159,11418,27000007,782061886,27000007
2,1000,7,0.666,10180973,50561,125000007,3596524135,125000007
2,1400,7,1.852,43328901,88207,343000027,9843951547,343000027
2,1800,7,3.946,94161928,181697,729000007,20888244363,729000007
2,2200,7,7.200,171762476,322620,1331000007,38099375501,1331000007
2,2600,7,11.949,283551343,563559,2197000007,62844361089,2197000007
2,3000,7,18.434,435693162,861192,3375000007,96491990752,3375000007
2,600,8,0.141,2018149,21182,27000007,782155104,27000007
2,1000,8,0.671,10219628,68548,125000007,3597656595,125000007
2,1400,8,1.862,43483066,98244,343000007,9843841982,343000007
2,1800,8,3.981,93711518,178319,729000007,20886144851,729000007
2,2200,8,7.250,171739039,328769,1331000007,38097276421,1331000007
2,2600,8,12.005,283381125,557826,2197000007,62843221326,2197000007
2,3000,8,18.530,435681131,865648,3375000007,96491990815,3375000007
2,600,9,0.141,2015595,12834,27000007,781938621,27000007
2,1000,9,0.674,10162420,44744,125000007,3597751024,125000007
2,1400,9,1.867,43549260,106260,343000007,9842717790,343000007
2,1800,9,3.988,94031135,179228,729000007,20886144882,729000007
2,2200,9,7.287,171758076,325676,1331000007,38097276361,1331000007
2,2600,9,12.077,283496143,564505,2197000007,62845321479,2197000007
2,3000,9,18.574,435560402,874886,3375000007,96494088418,3375000007
2,600,10,0.143,2024346,10103,27000007,782143066,27000007
2,1000,10,0.674,10214952,49177,125000007,3597103290,125000007
2,1400,10,1.878,43523453,89235,343000007,9843951496,343000007
2,1800,10,4.009,94077847,183991,729000007,20888244416,729000007
2,2200,10,7.323,171858278,324655,1331000007,38099375478,1331000007
2,2600,10,12.114,283507310,555944,2197000007,62843223110,2197000007
2,3000,10,18.673,435735305,877258,3375000007,96491990829,3375000007
2,600,11,0.142,2001512,8536,27000007,781933253,27000007
2,1000,11,0.680,10187589,65976,125000007,3597302457,125000007
2,1400,11,1.886,43598554,86968,343000007,9841851727,343000007
2,1800,11,4.033,94273838,242605,729000007,20888244385,729000007
2,2200,11,7.377,171656586,322392,1331000007,38099375572,1331000007
2,2600,11,12.152,283398104,554956,2197000007,62845321555,2197000007
2,3000,11,18.723,435639368,859764,3375000007,96491990865,3375000007
2,600,12,0.143,2003698,10989,27000007,782203613,27000007
2,1000,12,0.679,10194583,78513,125000007,3596666623,125000007
2,1400,12,1.885,43508393,92964,343000007,9842206865,343000007
2,1800,12,4.027,93979164,178886,729000007,20888245025,729000007
2,2200,12,7.365,171702967,354478,1331000007,38099375546,1331000007
2,2600,12,12.207,283486478,548286,2197000007,62845321692,2197000007
2,3000,12,18.795,435735135,867046,3375000007,96491991163,3375000007
2,600,13,0.149,1962303,11997,27000007,783153455,27000007
2,1000,13,0.680,10164062,72199,125000007,3597076783,125000007
2,1400,13,1.887,43569096,91013,343000007,9841851783,343000007
2,1800,13,4.040,93956809,185118,729000007,20886939624,729000007
2,2200,13,7.396,171736801,342614,1331000017,38099375596,1331000017
2,2600,13,12.207,283315199,557109,2197000007,62845321625,2197000007
2,3000,13,18.779,435395485,874048,3375000007,96494088844,3375000007
2,600,14,0.146,1976477,16907,27000007,782155009,27000007
2,1000,14,0.685,10174431,57924,125000007,3597050711,125000007
2,1400,14,1.895,43633098,82857,343000007,9843951629,343000007
2,1800,14,4.049,93898762,194980,729000007,20886144555,729000007
2,2200,14,7.392,171851486,327480,1331000007,38099375653,1331000007
2,2600,14,12.252,283484468,563717,2197000007,62845321746,2197000007
2,3000,14,18.873,435664275,863648,3375000007,96491991217,3375000007
2,600,15,0.144,1977097,22383,27000007,782143359,27000007
2,1000,15,0.686,10197581,53448,125000007,3596381515,125000007
2,1400,15,1.898,43469557,96162,343000007,9841860802,343000007
2,1800,15,4.055,94055806,179635,729000007,20886145062,729000007
2,2200,15,7.423,171690775,330098,1331000007,38097276652,1331000007
2,2600,15,12.291,283485999,565654,2197000007,62844585588,2197000007
2,3000,15,18.921,435568760,867494,3375000007,96491991219,3375000007
2,600,16,0.146,1979100,18863,27000007,782458552,27000007
2,1000,16,0.685,10202818,57649,125000007,3597148856,125000007
2,1400,16,1.900,43609878,86047,343000007,9843248700,343000007
2,1800,16,4.068,93788638,178048,729000007,20886144538,729000007
2,2200,16,7.437,171728330,321453,1331000007,38097276668,1331000007
2,2600,16,12.290,283469741,567179,2197000007,62843223518,2197000007
2,3000,16,18.919,435553009,875559,3375000007,96494088967,3375000007
